,Wiki_Page,Wikipedia_Paragraphs
10,<WikipediaPage 'Pomme de terre'>,"

Les tubercules, qui résultent d’une modification des tiges souterraines, fonctionnent comme organes de réserve de nutriments.
Ils sont de taille et de forme variable selon les variétés, leur forme étant classée en quatre grands types : claviformes (forme de massue comme la BF 15 ou de rein comme la ratte) ; oblongs (Bintje, Spunta) ; arrondis, souvent bosselés (essentiellement les variétés à fécule) ; cylindriques et allongés, plus ou moins bosselés (variétés anciennes comme la vitelotte noire). La peau est généralement jaune, mais peut être rouge, noire, ou rosée. La chair est blanche, jaune plus ou moins foncé, rose ou violette selon les variétés.
À leur surface, on peut observer des « yeux », alignés sur cinq génératrices[Quoi ?] et disposés selon une courbe hélicoïdale qui court depuis la cicatrice basale (point d’attache du tubercule sur le rhizome), jusqu’à l’apex, à l’extrémité opposée, où ils sont les plus nombreux. Ces yeux comportent normalement trois germes, disposés à l’aisselle d’écailles (feuilles réduites) qui sont les bourgeons végétatifs et représentent autant de tiges potentielles. Ils sont plus ou moins enfoncés, l’enfoncement protégeant les bourgeons végétatifs ; la sélection a privilégié les yeux superficiels, qui facilitent l’épluchage, dans les variétés de consommation. Observables également à la surface, les lenticelles sont des orifices circulaires qui permettent la respiration. Leur nombre varie en fonction de la superficie, de la taille du tubercule et des conditions du milieu.
Les germes se développent après une période de dormance plus ou moins longue. Les premiers à se développer sont ceux situés à l’apex.
Dans une coupe transversale, on distingue le cortex, le parenchyme vasculaire de réserve, l’anneau vasculaire plus ou moins marqué, et le tissu médullaire."
11,<WikipediaPage 'Pomme de terre'>,"

La formation des tubercules, ou tubérisation, se produit à l’extrémité des rhizomes dans une zone méristématique sub-apicale, grâce à un grossissement radial, produit de l’allongement des cellules parenchymateuses et de la perte de leur polarité. Pendant la formation du tubercule, la croissance longitudinale du rhizome s’arrête et les cellules parenchymateuses du cortex, de la moelle et des zones périmédullaires se divisent et s’allongent. Chez les tubercules mûrs, il subsiste peu d’éléments conducteurs et pas de cambium vasculaire continu. Les tubercules sont couverts d’un exoderme qui apparaît en rompant l’épiderme et qui grossit avec le temps.
Le tubercule comporte une forte proportion d’eau, pouvant aller jusqu’à 80 %, ainsi que des matières amylacées (la fécule), accumulées dans les amyloplastes, du sucre, des matières albuminoïdes, des fibres cellulosiques, des éléments minéraux, des diastases et des vitamines (vitamine C, surtout présente dans la peau) et des toxines (voir plus loin)."
12,<WikipediaPage 'Pomme de terre'>,"


===== Fleurs et inflorescence =====
L’inflorescence est une cyme qui naît à l’extrémité de la tige. Elle compte de 1 à 30 fleurs, généralement entre 7 et 15. Le nombre d’inflorescences et le nombre de fleurs par inflorescence varient fortement selon les cultivars.
Approximativement au moment où s’ouvre la première fleur, une nouvelle tige, qui donnera naissance à une nouvelle inflorescence, se développe à l’aisselle de la feuille proximale.
En général, 2 ou 3 fleurs s’ouvrent chaque jour. Elles restent ouvertes de 2 à 4 jours si bien que chaque inflorescence présente de 5 à 10 fleurs ouvertes en même temps pendant le pic de la floraison."
13,<WikipediaPage 'Pomme de terre'>,"

Les fleurs, d’un diamètre de 3 à 4 cm, sont régulières, à symétrie pentamère typique de la famille des Solanaceae.
Le calice gamosépale est constitué de 5 sépales verts soudés à la base et la corolle gamopétale, à 5 pétales également soudés par leurs bords, a la forme d’une étoile.
La corolle peut être de couleur blanche ou d’un mélange plus ou moins complexe de bleu, pourpre et violet selon le type et la quantité d’anthocyanines présentes."
14,<WikipediaPage 'Pomme de terre'>,"

L’androcée comprend 5 étamines au filet court inséré sur la corolle et à l’anthère à 2 loges, de 5 à 7 mm de long, de couleur jaune brillant, sauf chez les clones mâles stériles chez lesquels elle est jaune clair ou jaune verdâtre. Les anthères sont rapprochées formant un tube entourant le pistil. Leur déhiscence se fait par 2 pores terminaux.
Le pistil, issu de 2 carpelles soudés, comprend 1 ovaire supère à 2 loges. Les stigmates sont habituellement de couleur verte, mais certains clones peuvent présenter des stigmates pigmentés. Ils sont plus ou moins saillants au-delà de l’anneau des anthères. La saillie du style hors de la colonne des anthères n’intervient pas avant la veille de l’éclosion de la fleur.
La réceptivité du stigmate et la durée de production du pollen sont d’environ 2 jours. La fécondation se produit approximativement 36 heures après la pollinisation.
Cette espèce produit des graines par autofécondation (comportement propre des espèces autogames), mais elle manifeste aussi une dépression endogamique (caractéristique propre aux espèces allogames). Les graines obtenues par pollinisation libre sont le résultat d’un mélange d’autopollinisation et de pollinisation croisée, la première étant la plus fréquente."
15,<WikipediaPage 'Pomme de terre'>,"

Le fruit de la pomme de terre est une baie qui ressemble à une petite tomate. Tout comme le reste de la plante, y compris les tubercules lorsqu'ils sont germés ou verdis, il contient des alcaloïdes et solanines toxiques et n'est donc pas comestible. Sa forme peut être sphérique, allongée ou ovoïde, son diamètre varie généralement de 1 à 3 cm et sa couleur peut aller du vert au jaunâtre, ou de marron rougeâtre à violet. Les baies présentent deux loges et peuvent contenir approximativement de 200 à 400 graines. Elles sont groupées en grappes terminales.
Les graines aplaties, ovales ou réniformes et de couleur blanche, jaune ou marron jaunâtre, sont petites ; on compte de 1 000 à 1 500 graines pour un gramme. Elles sont albuminées et l’embryon est enroulé.
Certaines variétés cultivées ne fleurissent pas ; d’autres fleurissent mais sont stériles, par dégénérescence des étamines ou des ovules."
16,<WikipediaPage 'Pomme de terre'>,"


==== Repos végétatif et dormance ====
Dès sa formation, le tubercule de pomme de terre subit une période de repos végétatif (ou dormance vraie, d’origine physiologique) qui l’empêche de germer, même s’il est placé dans des conditions de milieu (température, hygrométrie) favorables à la germination. Cette première phase est suivie d’une période de dormance déterminée par des conditions de milieu défavorables (température sub-optimale).
La durée du repos végétatif est très variable (de dix-sept à quarante semaines) et dépend principalement des variétés, c’est-à-dire de facteurs génétiques. Elle est par exemple courte pour Sirtema, moyenne pour Bintje et longue pour Désirée. De nombreux changements biochimiques sont liés au maintien et à la levée de la dormance, en particulier l’acide abscissique (ABA) semble jouer un rôle déterminant dans la dormance des bourgeons."
17,<WikipediaPage 'Pomme de terre'>,"


==== Position de l’espèce dans la classification ====
La pomme de terre appartient au genre Solanum et plus précisément au sous-genre Potatoe, section Petota, sous-section Potatoe. Cette sous-section se distingue par la présence de tubercules véritables qui se forment à l’extrémité des rhizomes. Elle regroupe les espèces de pommes de terre cultivées et les espèces sauvages apparentées.
La série Tuberosa, à son tour, se caractérise par ses feuilles imparipennées ou simples, sa corolle ronde ou pentagonale et ses baies arrondies.
L’espèce Solanum tuberosum se différencie des autres espèces de la même série taxonomique par l’articulation du pédoncule en son tiers médian, les lobes du calice courts et disposés régulièrement, les feuilles fréquemment arquées, les folioles toujours ovales à lancéolées, approximativement deux fois plus longues que larges et les tubercules ayant une période de dormance bien marquée."
18,<WikipediaPage 'Pomme de terre'>,"


==== Sous-espèces ====
Solanum tuberosum se subdivise en deux sous-espèces : Solanum tuberosum L. subsp. tuberosum et Solanum tuberosum L. subsp. andigenum (Juz. & Bukasov) Hawkes.
La sous-espèce tuberosum est originaire de l’île de Chiloé, de l’archipel de Chonos et des régions adjacentes du Chili. Certaines formes diploïdes de cette sous espèce sont cultivées au Chili.
La sous-espèce andigenum est native des Andes péruviennes et se distribue du Venezuela jusqu’au nord-ouest de l’Argentine. De nombreuses variétés traditionnelles de cette sous-espèce sont cultivées dans les régions andines. Certaines sont à l’origine des premières introductions de la pomme de terre en Europe.
Les différences morphologiques entre ces deux sous-espèces sont très réduites et résumées dans le tableau ci-dessous. La principale différence réside dans le fait que andigenum dépend d’une photopériode courte pour tubériser,,. Outre ces différences morphologiques, les deux sous-espèces sont nettement différenciées au niveau génétique, tant au niveau du génome chloroplastique que nucléaire,,."
19,<WikipediaPage 'Pomme de terre'>,"

Concernant l’origine génétique des deux sous-espèces, on a établi que du fait de sa grande diversité génétique (avec d’innombrables variétés locales décrites et une grande diversité au niveau du génome nucléaire et chloroplastique), la sous-espèce andigenum est la sous-espèce originale et celle qui a donné naissance à S. subsp. tuberosum. Les différences au niveau de l’ADN chloroplastique sont suffisamment importantes pour pouvoir servir de marqueur généalogique pour déterminer sans équivoque comment s’est formée la sous-espèce tuberosum. Ainsi, on a démontré qu’il existe cinq génotypes de chloroplastes chez la sous-espèce andigenum (dénommés A, C, S, T et W), tandis que la sous-espèce tuberosum en compte seulement trois (A, T et W).
Le type le plus fréquemment rencontré chez la sous-espèce tuberosum est le T, caractérisé par une cassure chromosomique de 241 paires de bases. L’étude de l’ADN chloroplastique d’un grand nombre de variétés des deux sous-espèces a permis de conclure que la sous-espèce tuberosum dérive de la sous-espèce andigenum après que cette dernière s’est croisée avec une espèce tubéreuse sauvage présente dans le Sud de la Bolivie et le Nord-Ouest de l’Argentine, Solanum tarijense,."
20,<WikipediaPage 'Pomme de terre'>,"

Bien qu’elle soit acceptée par le Centre international de la pomme de terre (CIP), cette classification ne fait pas consensus parmi les taxonomistes de la pomme de terre. Les botanistes russe Boukasov et Lechnovitch en recensent 21 en 1971 tandis que Dodds en 1962 en admet trois, subdivisées toutefois en cinq groupes de cultivars dans le cadre du Code international pour la nomenclature des plantes cultivées.
En 2007, une étude basée sur des marqueurs moléculaires portant sur 742 variétés locales a conduit à réduire à quatre le nombre d’espèces de pommes de terre cultivées : outre Solanum tuberosum, il s’agit de Solanum ajanhuiri (diploïde), Solanum juzepczukii (triploïde) et Solanum curtilobum (pentaploïde).
Il existe également de nombreuses espèces sauvages, étroitement apparentées aux précédentes et poussant exclusivement en Amérique du Sud, par exemple S. jamesii, S. commersioni ou S. maglia. Certaines de ces espèces, en raison de leur résistance au froid, de leur précocité, de leur résistance aux maladies, ont été utilisées pour améliorer les variétés cultivées ou en créer de nouvelles."
21,<WikipediaPage 'Pomme de terre'>,"

L’espèce Solanum tuberosum a une aire de répartition naturelle, celle où elle était cultivée lors de l’arrivée des conquistadors, cantonnée dans les régions andines de l’Amérique du Sud, les aires propres à chacune des deux sous-espèces, subsp. andigenum et subsp. tuberosum, étant totalement disjointes, séparées notamment par la zone aride du désert d'Atacama. La première s’étend depuis la Colombie au nord, jusqu’à la province de Jujuy au nord de l’Argentine, dans des régions montagneuse, généralement à plus de 2 000 m d’altitude, la seconde, exclusivement chilienne, est une zone de plaines qui va du centre du pays jusqu’à l’archipel des Chiloé au sud.
Les cultures actuelles, qui concernent presque exclusivement la sous-espèce subsp. tuberosum, s’étendent sur les cinq continents entre 47° de latitude Sud et 65° de latitude Nord. La moitié de la surface consacrée à la pomme de terre se trouve en Europe et un tiers en Asie. L’hémisphère sud ne comprend que 6,9 % des terres cultivées en pommes de terre. On constate deux pics dans la répartition en latitude, le plus important (52 % de la surface mondiale), entre 44° et 58° de latitude N correspond aux pays d’Europe situés depuis la mer du Nord jusqu’à la Russie où se pratique une culture d’été. Le second (19 % de la surface), entre 23° et 34° de latitude N correspond à des zones plus chaudes de culture d’hiver (bassin du Gange, Sud de la Chine, Nord de l’Afrique). 25 % des surfaces cultivées se situent à plus de 1 000 m d’altitude."
22,<WikipediaPage 'Pomme de terre'>,"


==== Séquençage du génome ====
Le génome de la pomme de terre cultivée est tétraploïde et comprend 48 chromosomes (2n = 4x = 48). Sa taille est estimée à 950 Mpb.
Il a été entièrement séquencé entre 2006 et 2011 dans le cadre d’un projet international, le Potato Genome Sequencing Consortium (PGSC) regroupant 29 instituts de recherche appartenant à quatorze pays et coordonné par l’université de Wageningen (Pays-Bas). Il s’inscrit lui-même dans un projet plus large, l’International Solanaceae Genome (SOL) Project, intéressant plusieurs espèces de Solanacées.
La répartition des tâches entre les pays participants est la suivante : chromosomes 1, 5 et 8 : Pays-Bas, chromosome 2 : Inde, chromosome 3 : Argentine, Brésil, Chili et Pérou, chromosome 4 : Royaume-Uni et Irlande, chromosome 6 : États-Unis, chromosome 7 : Pologne, chromosome 9 : Nouvelle-Zélande, chromosomes 10 et 11 : Chine, chromosome 12 : Russie. Les résultats de cette recherche ont été publiés par la revue scientifique Nature le 10 juillet 2011."
23,<WikipediaPage 'Pomme de terre'>,"

De nombreuses expériences de transgénèse ont été réalisées sur la pomme de terre depuis les années 1980. Elles poursuivent principalement trois objectifs : améliorer les caractéristiques agronomiques telles que la résistance à des maladies, des insectes ou des stress abiotiques (sécheresse, froid), modifier la composition des tubercules en vue de leur utilisation alimentaire ou industrielle, se servir des tubercules comme « réacteurs biologiques » pour produire des molécules intéressantes en médecine humaine ou animale. Certaines ont obtenu des autorisations de commercialisation dans certains pays. Elles concernent notamment des résistances à des insectes ou à des maladies virales : résistance au doryphore, à la teigne (Phthorimaea operculella) et aux virus Y et au virus de l’enroulement de la pomme de terre,. D’autres concernant des propriétés intéressantes dans le domaine médical ou industriel n’ont pas eu d’applications concrètes.
En 2000, des études menées aux États-Unis ont montré la possibilité d’utiliser une pomme de terre génétiquement modifiée comme vaccin oral capable de déclencher chez l’homme une réponse immunitaire au virus de Norwalk, responsable de certaines formes de gastro-entérite.
En 2005, l’Autorité européenne de sécurité des aliments (AESA) a formulé un avis favorable à la production d’une pomme de terre transgénique, baptisée Amflora, sur demande de la société BASF Plant Science (BPS). Cette variété transgénique, dont le nom de code officiel est « EH92-527-1 », possède un amidon composé à 98 % d’amylopectine, ce qui présente un net avantage pour la production de fécule à usage industriel. Cette demande est restée sans suite au niveau du Conseil européen. Cependant en mars 2010, la Commission européenne, par la voix du commissaire à la Santé et à la Politique des consommateurs, John Dalli, a décidé d’autoriser sa culture dans « des conditions de culture strictes afin d’éviter que des pommes de terre transgéniques ne soient laissées dans les champs après la récolte et que des graines d’Amflora ne soient répandues accidentellement dans l’environnement ».
Des pommes de terre génétiquement modifiées pour produire une lectine végétale GNA (Galanthus nivalis agglutinin) ont été au centre de l’« affaire Pusztai » dans les années 1998-1999.
La pomme de terre transgénique Fortuna résistant au mildiou de la pomme de terre est développée par BASF Plant Science depuis 2009.
En novembre 2011, une nouvelle controverse porte sur la non-neutralité et les conflits d'intérêt de certains experts ; selon l’ONG Corporate Europe Observatory (spécialisée dans l’observation et l’alerte quant aux stratégies de lobbying industriel, de corporation ou de cartel), la moitié des experts de l’AESA ayant autorisé la culture de la pomme de terre OGM Amflora (déjà cultivée en Allemagne, Suède et Tchéquie) avaient des conflits d’intérêts."
24,<WikipediaPage 'Pomme de terre'>,"


==== Banques de gènes ====
Les principales banques de gènes qui conservent du matériel génétique de la pomme de terre et des espèces apparentées se trouvent en Allemagne, en Argentine, au Chili, en Colombie, aux États-Unis, au Pérou (Centre international de la pomme de terre), au Royaume-Uni, en Russie (Institut Vavilov)."
25,<WikipediaPage 'Pomme de terre'>,"


== Histoire et diffusion de la pomme de terre =="
26,<WikipediaPage 'Pomme de terre'>,"

L'histoire de la pomme de terre, Solanum tuberosum, commence avec celle d'hommes ayant vécu il y a plus de 10 000 ans dans la zone côtière de l'actuel Pérou et au sud-ouest de l'Amérique du Sud.
Ces chasseurs-cueilleurs du néolithique apprennent progressivement à la domestiquer et à traiter ses propriétés toxiques.
Il y a 8 000 ans, sur l'altiplano andin dans la région du lac Titicaca, cette domestication aboutit à des pratiques rationnelles de culture et de conservation.
En 1532, à l'arrivée des conquistadors de François Pizarre lors de la colonisation espagnole des Amériques, la pomme de terre, avec le maïs, est à la base de l'alimentation de l'ensemble de l'empire Inca et des populations vivant dans les régions voisines. Ces peuples déshydratent les papas en les exposant, la nuit au froid et le jour à la chaleur ; ce qui donne au légume l’apparence d'une pierre noire dure et légère de la taille d'une grosse noix. On le trempe dans l'eau pour le cuire.
Dès leur découverte par les conquistadors, les tubercules naviguent avec eux vers les côtes de l'Europe à bord des galions, et les explorateurs du Nouveau Monde les débarquent dans les ports d'Espagne puis ceux de l'Angleterre. De là, la pomme de terre part à la conquête de l'Europe.
Objet de curiosité des botanistes et des rois, remède à certaines maladies pour les ecclésiastiques, elle n'est pas tout de suite considérée comme pouvant servir à l'alimentation des humains. De fait elle est considérée avec beaucoup de méfiance. Il faut dire que la pomme de terre à cette époque est petite, amère et indigeste.
Dans le Sud de l’Europe, elle circule de cours en couvents, d'Espagne en Italie (appelée taratuffi - « truffe de terre » - et tartuffoli dans les alpes italiennes), en France et en Savoie (appelée cartoufle) puis vers l'Autriche, d’Angleterre vers l'Irlande et les Flandres ; mais elle commence à être sporadiquement cultivée seulement au début du XVIIe siècle.
Sa conquête du territoire européen s'accélère alors, poussée dans les campagnes par les famines et les guerres.
Sa diversité allélique naturelle facilite sa conquête en lui permettant de rapidement adapter son horloge circadienne aux saisons et aux climats des latitudes du vieux continent.
Dès la première édition en 1600 de son Théâtre d’agriculture et mesnage des champs, Olivier de Serres évoque la pomme de terre sous le nom de « cartoufle », version francisée du mot allemand « kartoffeln » lui-même dérivé de l'italien « taratuffi ». Vers 1620, la pomme de terre est effectivement introduite en France. Elle est alors surtout donnée comme nourriture aux animaux. Son acceptation s'avère difficile. En 1630 par exemple, le parlement de Dole interdit sa culture au motif que cette « racine » serait un vecteur de la lèpre.
Le XVIIIe siècle voit dans tout le vieux continent, jusqu'aux confins de la Russie, naître un véritable engouement pour ce tubercule, facile à cultiver et à conserver, et qui permet à l’Europe d'espérer la fin des famines. La culture de la pomme de terre, en libérant le peuple des disettes, renforce les États, nourrit leurs soldats et accompagne leurs armées dans des conquêtes plus lointaines.
Cependant, la découverte d'un charnier de peste en 1722 à Marseille amène le gouvernement à penser que l'épidémie provient des pommes de terre. Suspectées depuis longtemps de transmettre la lèpre, leur culture est interdite dans le nord de la France par un arrêt du Parlement de Paris de 1748,. L'interdiction n'est levée qu'après que la Faculté de médecine de Paris a admis en 1772, qu'elles peuvent être consommées.
Au XIXe siècle, la force et la stabilité alimentaire acquises grâce à la pomme de terre fournissent aux empires coloniaux la possibilité de s'étendre et de dominer une grande partie du monde.
La pomme de terre devient le principal soutien de la révolution industrielle, offrant une nourriture économique aux ouvriers toujours plus nombreux à se presser dans les villes, au plus près des usines."
